iter	Passed	Remaining
0	246	245978
1	308	153986
2	415	137997
3	481	119844
4	576	114804
5	640	106142
6	702	99624
7	765	94979
8	827	91157
9	899	89072
10	995	89510
11	1090	89807
12	1186	90071
13	1248	87899
14	1318	86589
15	1398	86035
16	1474	85243
17	1537	83883
18	1616	83452
19	1677	82215
20	1737	81008
21	1812	80568
22	1871	79488
23	1952	79381
24	2024	78944
25	2117	79328
26	2199	79270
27	2296	79736
28	2394	80168
29	2504	80987
30	2575	80517
31	2651	80198
32	2741	80348
33	2841	80725
34	2976	82065
35	3057	81862
36	3121	81246
37	3193	80835
38	3251	80116
39	3341	80191
40	3420	80016
41	3487	79548
42	3562	79288
43	3631	78903
44	3731	79183
45	3802	78850
46	3958	80255
47	4098	81294
48	4206	81649
49	4276	81244
50	4359	81123
51	4456	81247
52	4607	82335
53	4730	82865
54	4848	83311
55	4919	82920
56	4986	82495
57	5092	82705
58	5225	83337
59	5315	83269
60	5425	83512
61	5553	84018
62	5704	84846
63	5783	84577
64	5892	84763
65	6007	85012
66	6112	85124
67	6235	85465
68	6315	85216
69	6386	84854
70	6471	84678
71	6599	85054
72	6735	85530
73	6844	85645
74	6953	85759
75	7057	85799
76	7163	85866
77	7270	85944
78	7384	86092
79	7484	86066
80	7579	85989
81	7679	85969
82	7772	85868
83	7872	85850
84	7905	85096
85	7986	84879
86	8067	84661
87	8147	84442
88	8245	84396
89	8385	84785
90	8506	84975
91	8602	84898
92	8679	84650
93	8708	83931
94	8794	83782
95	8887	83694
96	8978	83583
97	8999	82836
98	9087	82709
99	9192	82735
100	9291	82700
101	9417	82910
102	9513	82851
103	9621	82890
104	9700	82688
105	9804	82693
106	9874	82412
107	9956	82229
108	10056	82208
109	10167	82265
110	10257	82155
111	10365	82184
112	10432	81888
113	10494	81564
114	10581	81431
115	10676	81365
116	10773	81304
117	10857	81156
118	10935	80958
119	11029	80882
120	11133	80879
121	11268	81095
122	11361	81011
123	11449	80882
124	11544	80808
125	11649	80806
126	11759	80836
127	11836	80635
128	11904	80381
129	11934	79871
130	12039	79863
131	12134	79795
132	12209	79590
133	12298	79483
134	12412	79531
135	12521	79545
136	12623	79516
137	12741	79588
138	12827	79459
139	12904	79271
140	12978	79068
141	13052	78865
142	13156	78848
143	13261	78830
144	13372	78849
145	13435	78588
146	13522	78464
147	13600	78294
148	13637	77887
149	13724	77773
150	13806	77629
151	13875	77413
152	13960	77287
153	14053	77202
154	14219	77519
155	14310	77424
156	14418	77417
157	14514	77347
158	14605	77255
159	14738	77377
160	14830	77283
161	14902	77088
162	14990	76973
163	15071	76825
164	15174	76790
165	15282	76780
166	15383	76734
167	15521	76867
168	15611	76765
169	15656	76438
170	15754	76376
171	15823	76174
172	15903	76024
173	15984	75879
174	16028	75562
175	16119	75468
176	16210	75375
177	16262	75100
178	16344	74963
179	16411	74763
180	16498	74651
181	16599	74608
182	16690	74516
183	16773	74386
184	16861	74282
185	16942	74145
186	17037	74070
187	17094	73835
188	17171	73683
189	17255	73563
190	17336	73428
191	17410	73267
192	17507	73204
193	17586	73066
194	17652	72871
195	17758	72845
196	17840	72720
197	17938	72659
198	18023	72546
199	18087	72350
200	18190	72307
201	18298	72288
202	18388	72196
203	18484	72126
204	18561	71983
205	18662	71933
206	18772	71914
207	18817	71652
208	18901	71534
209	18968	71358
210	19036	71184
211	19142	71150
212	19243	71100
213	19324	70976
214	19416	70894
215	19512	70821
216	19597	70714
217	19692	70641
218	19806	70633
219	19902	70562
220	19995	70480
221	20106	70462
222	20195	70366
223	20274	70238
224	20365	70146
225	20413	69912
226	20510	69843
227	20601	69755
228	20686	69647
229	20766	69524
230	20884	69523
231	20976	69439
232	21080	69392
233	21213	69441
234	21360	69536
235	21459	69469
236	21567	69435
237	21696	69466
238	21802	69421
239	21934	69460
240	22042	69419
241	22150	69381
242	22269	69374
243	22384	69355
244	22471	69249
245	22553	69128
246	22663	69090
247	22774	69057
248	22875	68994
249	22961	68884
250	23063	68821
251	23207	68886
252	23290	68767
253	23391	68700
254	23503	68667
255	23610	68617
256	23738	68629
257	23849	68589
258	23968	68572
259	24040	68423
260	24163	68416
261	24283	68401
262	24411	68407
263	24510	68332
264	24620	68286
265	24718	68207
266	24825	68155
267	24948	68144
268	25061	68103
269	25189	68105
270	25320	68114
271	25406	67999
272	25524	67972
273	25626	67900
274	25741	67864
275	25821	67735
276	25907	67620
277	26007	67545
278	26117	67493
279	26266	67542
280	26378	67494
